Order_ID;Order_Date;Customer_ID;Product_ID;Quantity;Customer_Name;Email;Country;Coffee_Type;Roast_Type;Size;Unit_Price;Sales;Coffee_type_Name;Roast_type_Name
QEV-37451-860;Sep-05-2019;17670-51384-MA;R-M-1;2;"Aloisia Allner";aallner0@lulu.com;"United States";Rob;M;"1.0 kg";"$ 9.95";"$ 19.90";Robusta;Medium
QEV-37451-860;Sep-05-2019;17670-51384-MA;E-M-0.5;5;"Aloisia Allner";aallner0@lulu.com;"United States";Exc;M;"0.5 kg";"$ 8.25";"$ 41.25";Excelsa;Medium
FAA-43335-268;Jun-17-2021;21125-22134-PX;A-L-1;1;"Jami Redholes";jredholes2@tmall.com;"United States";Ara;L;"1.0 kg";"$ 12.95";"$ 12.95";Arabica;Light
KAC-83089-793;Jul-15-2021;23806-46781-OU;E-M-1;2;"Christoffer O' Shea";NULL;Ireland;Exc;M;"1.0 kg";"$ 13.75";"$ 27.50";Excelsa;Medium
KAC-83089-793;Jul-15-2021;23806-46781-OU;R-L-2.5;2;"Christoffer O' Shea";NULL;Ireland;Rob;L;"2.5 kg";"$ 27.48";"$ 54.97";Robusta;Light
CVP-18956-553;Aug-04-2021;86561-91660-RB;L-D-1;3;"Beryle Cottier";NULL;"United States";Lib;D;"1.0 kg";"$ 12.95";"$ 38.85";Libarica;Dark
IPP-31994-879;Jan-21-2022;65223-29612-CB;E-D-0.5;3;"Shaylynn Lobe";slobe6@nifty.com;"United States";Exc;D;"0.5 kg";"$ 7.29";"$ 21.87";Excelsa;Dark
SNZ-65340-705;May-20-2022;21134-81676-FR;L-L-0.2;1;"Melvin Wharfe";NULL;Ireland;Lib;L;"0.2 kg";"$ 4.76";"$ 4.76";Libarica;Light
EZT-46571-659;Jan-02-2019;03396-68805-ZC;R-M-0.5;3;"Guthrey Petracci";gpetracci8@livejournal.com;"United States";Rob;M;"0.5 kg";"$ 5.97";"$ 17.91";Robusta;Medium
NWQ-70061-912;Sep-05-2019;61021-27840-ZN;R-M-0.5;1;"Rodger Raven";rraven9@ed.gov;"United States";Rob;M;"0.5 kg";"$ 5.97";"$ 5.97";Robusta;Medium
BKK-47233-845;Mar-08-2021;76239-90137-UQ;A-D-1;4;"Ferrell Ferber";fferbera@businesswire.com;"United States";Ara;D;"1.0 kg";"$ 9.95";"$ 39.80";Arabica;Dark
VQR-01002-970;Oct-28-2020;49315-21985-BB;E-L-2.5;5;"Duky Phizackerly";dphizackerlyb@utexas.edu;"United States";Exc;L;"2.5 kg";"$ 34.15";"$ 170.77";Excelsa;Light
SZW-48378-399;Jul-02-2022;34136-36674-OM;R-M-1;5;"Rosaleen Scholar";rscholarc@nyu.edu;"United States";Rob;M;"1.0 kg";"$ 9.95";"$ 49.75";Robusta;Medium
ITA-87418-783;May-22-2020;39396-12890-PE;R-D-2.5;2;"Terence Vanyutin";tvanyutind@wix.com;"United States";Rob;D;"2.5 kg";"$ 20.58";"$ 41.17";Robusta;Dark
GNZ-46006-527;Apr-05-2022;95875-73336-RG;L-D-0.2;3;"Patrice Trobe";ptrobee@wunderground.com;"United States";Lib;D;"0.2 kg";"$ 3.89";"$ 11.66";Libarica;Dark
FYQ-78248-319;Jun-07-2022;25473-43727-BY;R-M-2.5;5;"Llywellyn Oscroft";loscroftf@ebay.co.uk;"United States";Rob;M;"2.5 kg";"$ 22.88";"$ 114.42";Robusta;Medium
VAU-44387-624;Mar-20-2019;99643-51048-IQ;A-M-0.2;6;"Minni Alabaster";malabasterg@hexun.com;"United States";Ara;M;"0.2 kg";"$ 3.38";"$ 20.25";Arabica;Medium
RDW-33155-159;Oct-19-2019;62173-15287-CU;A-L-1;6;"Rhianon Broxup";rbroxuph@jimdo.com;"United States";Ara;L;"1.0 kg";"$ 12.95";"$ 77.70";Arabica;Light
TDZ-59011-211;Jun-13-2019;57611-05522-ST;R-D-2.5;4;"Pall Redford";predfordi@ow.ly;Ireland;Rob;D;"2.5 kg";"$ 20.58";"$ 82.34";Robusta;Dark
IDU-25793-399;Dec-04-2020;76664-37050-DT;A-M-0.2;5;"Aurea Corradino";acorradinoj@harvard.edu;"United States";Ara;M;"0.2 kg";"$ 3.38";"$ 16.88";Arabica;Medium
IDU-25793-399;Dec-04-2020;76664-37050-DT;E-D-0.2;4;"Aurea Corradino";acorradinoj@harvard.edu;"United States";Exc;D;"0.2 kg";"$ 3.65";"$ 14.58";Excelsa;Dark
NUO-20013-488;Dec-04-2020;03090-88267-BQ;A-D-0.2;6;"Avrit Davidowsky";adavidowskyl@netvibes.com;"United States";Ara;D;"0.2 kg";"$ 2.99";"$ 17.91";Arabica;Dark
UQU-65630-479;Jan-22-2021;37651-47492-NC;R-M-2.5;4;"Annabel Antuk";aantukm@kickstarter.com;"United States";Rob;M;"2.5 kg";"$ 22.88";"$ 91.54";Robusta;Medium
FEO-11834-332;Feb-11-2022;95399-57205-HI;A-D-0.2;4;"Iorgo Kleinert";ikleinertn@timesonline.co.uk;"United States";Ara;D;"0.2 kg";"$ 2.99";"$ 11.94";Arabica;Dark
TKY-71558-096;Sep-15-2021;24010-66714-HW;A-M-1;1;"Chrisy Blofeld";cblofeldo@amazon.co.uk;"United States";Ara;M;"1.0 kg";"$ 11.25";"$ 11.25";Arabica;Medium
OXY-65322-253;Oct-24-2020;07591-92789-UA;E-M-0.2;3;"Culley Farris";NULL;"United States";Exc;M;"0.2 kg";"$ 4.13";"$ 12.38";Excelsa;Medium
EVP-43500-491;Feb-20-2019;49231-44455-IC;A-M-0.5;4;"Selene Shales";sshalesq@umich.edu;"United States";Ara;M;"0.5 kg";"$ 6.75";"$ 27.00";Arabica;Medium
WAG-26945-689;Oct-08-2019;50124-88608-EO;A-M-0.2;5;"Vivie Danneil";vdanneilr@mtv.com;Ireland;Ara;M;"0.2 kg";"$ 3.38";"$ 16.88";Arabica;Medium
CHE-78995-767;Aug-02-2022;00888-74814-UZ;A-D-0.5;3;"Theresita Newbury";tnewburys@usda.gov;Ireland;Ara;D;"0.5 kg";"$ 5.97";"$ 17.91";Arabica;Dark
RYZ-14633-602;Feb-20-2019;14158-30713-OB;A-D-1;4;"Mozelle Calcutt";mcalcuttt@baidu.com;Ireland;Ara;D;"1.0 kg";"$ 9.95";"$ 39.80";Arabica;Dark
WOQ-36015-429;Sep-25-2021;51427-89175-QJ;L-M-0.2;5;"Adrian Swaine";NULL;"United States";Lib;M;"0.2 kg";"$ 4.37";"$ 21.83";Libarica;Medium
WOQ-36015-429;Sep-25-2021;51427-89175-QJ;A-D-0.5;6;"Adrian Swaine";NULL;"United States";Ara;D;"0.5 kg";"$ 5.97";"$ 35.82";Arabica;Dark
